obsid,xid,dist_pc,wave,star_mjy,chi_star,ra_obs,de_obs,level,path
1342191014,2MASS J03542950+3203013,291.0022116168083,70,0.16456,2.4695099999999996,58.62295270611603,32.05036899319436,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292768/1342191014/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0354_p3203_00_v1.0_1470604843376.fits.gz
1342191015,2MASS J03543556+2537111,277.9939953297009,70,0.034291300000000004,-0.930499,58.64816633724795,25.619749103750078,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292770/1342191015/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0355_p2537_00_v1.0_1470604163558.fits.gz
1342191016,2MASS J04035084+2610531,129.01727541317786,70,0.195993,-1.05217,60.9618897656411,26.181308703935056,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292771/1342191016/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0404_p2611_00_v1.0_1470604467519.fits.gz
1342191017,V* V679 Tau,450.28818443804033,70,0.233437,1.7878900000000002,58.00935407419711,24.663130145181565,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292772/1342191017/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0352_p2440_00_v1.0_1470604299893.fits.gz
1342191018,2MASS J04053087+2151106,125.9636217060513,70,0.129854,2.46719,61.378696555442076,21.85291030037044,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292773/1342191018/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0406_p2151_00_v1.0_1470604208768.fits.gz
1342191102,* zet02 Ret,12.046422092174403,100,12.7738,1.6435400000000002,49.561553689539906,-62.5045344429803,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293575/1342191102/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_0318_m6230_00_v1.0_1470609049853.fits.gz
1342191104,* zet02 Ret,12.046422092174403,70,25.9099,3.18272,49.561553689539906,-62.5045344429803,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL280900432/1342191104/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0318_m6230_00_v1.0_1470607601288.fits.gz
1342192757,* tet Ind,30.28467595396729,100,10.4818,3.5626900000000004,319.96713900631266,-53.44961449403821,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293082/1342192757/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_2120_m5327_00_v1.0_1470609139804.fits.gz
1342192759,HIP 107345,46.363050503270905,70,0.789984,-1.276,326.12575503301366,-60.97773709367569,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292774/1342192759/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_2145_m6059_00_v1.0_1470609725131.fits.gz
1342192760,* eps Ind,3.638946626842035,100,60.6125,-0.627727,330.86084605257327,-56.79320237174265,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293576/1342192760/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_2203_m5647_00_v1.0_1470614074448.fits.gz
1342192775,* 110 Her,19.20860545524395,100,24.089,1.5692700000000002,281.4155022830035,20.5453427777604,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293577/1342192775/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_1846_p2033_00_v1.0_1470609284367.fits.gz
1342193038,HD 181321,19.88609246237551,100,4.33692,0.148376,290.37410390416693,-34.98371355860763,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293084/1342193038/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_1922_m3459_00_v1.0_1470609815023.fits.gz
1342193040,HD 166348,13.104442405975625,100,3.57558,4.670669999999999,273.0896567484165,-43.44603614579858,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293086/1342193040/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_1812_m4327_00_v1.0_1470609810351.fits.gz
1342193042,HD 165189,,100,3.19313,1.04034,271.7079300650504,-43.42552448540625,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293089/1342193042/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_1807_m4326_00_v1.0_1470609867246.fits.gz
1342193046,* alf Vol,38.299502106472616,100,12.7814,1.6472099999999998,135.61163087569415,-66.39634877090819,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293092/1342193046/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_0902_m6624_00_v1.0_1470609890629.fits.gz
1342193054,* c Oph,122.697881007595,70,9.56637,37.5329,262.85397609899826,-23.96271760888876,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292776/1342193054/level2/HPPPMAPB/hpacs1342193054_20hpppmapb_00_1469273444857.fits.gz
1342193057,HD 157881,7.736345350456445,100,12.315000000000001,-1.42915,261.4368146344599,2.108048326319377,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293578/1342193057/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_1726_p0207_00_v1.0_1470610422626.fits.gz
1342193059,BD+18 3421,8.159209013641382,100,4.145700000000001,-1.04572,264.4750620074097,18.594514971241733,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293095/1342193059/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_1738_p1836_00_v1.0_1470610202361.fits.gz
1342193061,* del Her,23.036166781847506,100,28.9638,2.6166400000000003,258.75789454842317,24.83876146667883,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293098/1342193061/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_1715_p2450_00_v1.0_1470610759916.fits.gz
1342193064,GJ 623,7.84446004620387,100,3.1283399999999997,0.0900209,246.04373960345347,48.35166445115205,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293099/1342193064/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_1624_p4821_00_v1.0_1470610345115.fits.gz
1342193068,G 202-48,6.490134994807892,100,3.5023000000000004,0.857924,246.3547053371908,54.3036123183455,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293101/1342193068/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_1625_p5418_00_v1.0_1470610950997.fits.gz
1342193105,* eta Hor,41.8551894156597,100,5.915819999999999,0.108101,39.351982506658686,-52.543140613893925,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293103/1342193105/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_0237_m5232_00_v1.0_1470610962460.fits.gz
1342193107,HD 22496,13.636983499249967,100,3.48777,1.57545,53.755649905409406,-48.41826305555556,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278293104/1342193107/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_0335_m4825_00_v1.0_1470611055424.fits.gz
